Unnamed: 0,Unnamed: 1,21.276,0.575
,,20.853,0.565
,,20.942,0.57
,,20.667,0.568
,,19.804,0.562
,,19.429,0.561
,,20.258,0.569
,,18.376,0.565
,,21.077,0.567
,,19.918,0.566
,,44.831,0.675
,,40.386,0.675
Formulation 4,CS18-F4,40.451,0.671
Formulation 4,,38.963,0.669
Formulation 4,,38.751,0.666
Formulation 4,,111.623,0.79
Formulation 4,,112.42,0.787
Formulation 4,,108.854,0.788
Formulation 4,,108.801,0.781
Formulation 4,,105.765,0.776
Formulation 4,,106.952,0.779
Formulation 4,,117.421,0.791
Formulation 4,,109.951,0.792
Formulation 4,,107.64,0.782
