Material,Dataset ID,Run no.,Specific roll force [KN/em],Roll gap [mm],Solid fraction [-]
,,1,5.5,2.0,0.703
,,1,5.5,2.0,0.664
,,1,5.5,2.0,0.671
,,2,5.5,2.0,0.668
,,2,5.5,2.0,0.686
,,2,5.5,2.0,0.713
,,3,3.5,2.0,0.678
,,3,3.5,2.0,0.656
,,3,3.5,2.0,0.708
Compound B,,4,10.0,2.0,0.722
Compound B,RC-CB,4,10.0,2.0,0.783
Compound B,,4,10.0,2.0,0.789
Compound B,,5,6.5,,0.692
Compound B,,5,6.5,3.0,0.7 a
Compound B,,5,6.5,,0.72 B/D
Compound B,,6,5.5,2.0,0.74
Compound B,,6,5.5,2.0,0.74 cd
Compound B,,6,5.5,2.0,0.7 H|N
Compound B,,6,5.5,2.0,0.76
Compound B,,7,5.5,2.0,0.7 co
Compound B,,7,5.5,2.0,0.69 901
