Column_0,Column_1,nan,22.384,0.558
,,,23.135,0.567
,,,23.504,0.565
,,,23.542,0.566
,,,23.351,0.566
,,,52.903,0.701
,,,54.444,0.695
,,,53.947,0.699
,,,53.196,0.7
,,,54.011,0.692
,,,68.488,0.725
,,,70.346,0.728
,,,69.774,0.737
,,,69.188,0.73
,,,67.431,0.741
,,,95.544,0.765
,,,99.44,0.78
Formulation 3,CS10-F3,,98.536,0.781
,,,0.675,0.781
,,,1.044,0.785
,,,51.172,0.832
,,,53.171,0.836
,,,52.878,0.833
,,,57.627,0.844
,,,57.334,0.838
,,,88.516,0.865
,,,86.046,0.855
,,,98.944,0.869
,,,91.623,0.857
,,,95.57,0.861
,,,43.074,0.671
,,,43.188,0.672
,,,43.303,0.668
