0,1
28.934,0.735
29.435,0.737
29.234,0.735
48.657,0.791
48.757,0.788
48.958,0.793
68.481,0.828
68.581,0.825
68.481,0.825
92.809,0.863
93.510,0.864
93.010,0.862
117.138,0.895
117.338,0.893
117.539,0.895
136.861,0.908
136.861,0.908
136.361,0.905
174.005,0.909
175.607,0.928
175.106,0.932
29.435 29.435,0.740 0.737
29.335,0.736
48.757,0.790
48.958,0.787
48.657,0.789
68.881,0.827
68.481,0.827
68.481,0.824
93.210,0.863
93.010,0.858
93.010,0.858
116.938,0.893
117.438,0.890
117.539,0.892
137.362,0.906
136.461,0.907
